norm_title,critics_consensus,tomatometer_rating
click,"This latest Adam Sandler vehicle borrows shamelessly from It's A Wonderful Life and Back To The Future, and fails to produce the necessary laughs that would forgive such imitation.",34.0
the apparition,"The Apparition fails to offer anything original, isn't particularly scary, and offers so little in the way of dramatic momentum that it's more likely to put you to sleep than thrill you.",3.0
nightmare cinema,"Admirably eclectic yet more consistent than most horror anthologies, Nightmare Cinema should entertain viewers in the mood for a good old-fashioned creepshow.",77.0
we were here,We Were Here revisits the crises facing the gay community in the early 1980s -- and offers a powerful tribute to the inspiring resolve shown at a time of turmoil.,100.0
the clovehitch killer,The Clovehitch Killer patiently dials up the tension with a story that makes up for a lack of surprises with strong performances and a chilling wit.,76.0
the prince of egypt,The Prince of Egypt's stunning visuals and first-rate voice cast more than compensate for the fact that it's better crafted than it is emotionally involving.,80.0
body double,"Exemplifying Brian De Palma's filmmaking bravura and polarizing taste, Body Double is a salacious love letter to moviemaking.",76.0
i am not your negro,I Am Not Your Negro offers an incendiary snapshot of James Baldwin's crucial observations on American race relations -- and a sobering reminder of how far we've yet to go.,99.0
eraserhead,David Lynch's surreal Eraserhead uses detailed visuals and a creepy score to create a bizarre and disturbing look into a man's fear of parenthood.,90.0
enough,"Enough exploits the serious issue of spousal abuse to make an illogical, unintelligent thriller.",22.0
heavy metal,"It's sexist, juvenile, and dated, but Heavy Metal makes up for its flaws with eye-popping animation and a classic, smartly used soundtrack.",60.0
into the woods,"On the whole, this Disney adaptation of the Sondheim classic sits comfortably at the corner of Hollywood and Broadway -- even if it darkens to its detriment in the final act.",71.0
urban legend,Elements of Scream reappear in a vastly inferior vehicle.,21.0
16 blocks,"Despite strong performances from Bruce Willis and Mos Def, 16 Blocks is a shopworn entry in the buddy-action genre.",56.0
alan partridge,"The Alan Partridge movie ditches the TV series' nuanced humor for something broader, and succeeds in presenting the character on a global scale.",86.0
kenny,Kenny uses its seemingly lowbrow mockumentary premise as the foundation for a well-acted and surprisingly thoughtful character study.,100.0
in america,A rich and moving story about an immigrant family adjusting to life in New York.,89.0
silent light stellet licht,Silent Light demands patience -- and rewards willing viewers with a compassionate and beautifully filmed look at the human condition.,88.0
mission impossible rogue nation,Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.,93.0
guerrilla the taking of patty hearst,Guerilla is a riveting documentary that chronicles in enlightening fashion the 1974 kidnapping of heiress Patty Hearst.,89.0
cameraperson,"Fresh and inventive yet immediately accessible, Cameraperson distills its subject's life and career into an experience that should prove immediately absorbing even for those unfamiliar with her work.",99.0
manic,"A grim drama about emotionally damaged teens, Manic's solid cast helps to elevate the material above cliche.",67.0
shanghai,"Shanghai is crippled by a weak story and fatally undermined by clunky direction, making for a period political drama that lacks all of its key components.",4.0
seven pounds,"Grim and morose, Seven Pounds is also undone by an illogical plot.",26.0
in fear,"Compact and effective, In Fear offers discerning horror fans a smart and disturbing plunge into the depths of cinematic anxiety.",81.0
in between days,"In Between Days is a moving, artistic slice-of-life indie film.",86.0
mean girls,"Elevated by a brilliant screenplay and outstanding ensemble cast, Mean Girls finds fresh, female-fronted humor in the high school experience.",84.0
baby boy,"Preachy and repetitive in parts, Baby Boy still manages to exude authenticity, thanks to its competent cast.",71.0
nancy drew,"Emma Roberts is bubbly and charming as Nancy Drew, the junior detective. But despite her best efforts, Nancy Drew still lacks excitement, surprise, and compelling secondary characters.",50.0
the three musketeers,"Its starry trio of do-gooders may promise to fight ""one for all, all for one,"" but this Three Musketeers is a slickly unmemorable update bound to satisfy very few.",28.0
daddy day camp,"A mirthless, fairly desperate family film, Daddy Day Camp relies too heavily on bodily functions for comedic effect, resulting in plenty of cheap gags but no laughs.",1.0
memory the origins of alien,Memory - The Origins of Alien offers an entertaining inside look at the making of a classic -- and compellingly analyzes its creation in the context of its era.,81.0
buffalo soldiers,"Overall, this caustic comedy hits more of its targets than it misses.",73.0
history of the worldpart i,"History of the World: Part I may not have enough comedic inspiration to merit a Part II, but the sporadic cleverness of these anachronistic skits are still a testament to Mel Brooks' gift for farce.",58.0
love liza,"Hoffman's performance is strong, but the lack of character development and story arc makes Love Liza unsatisfying.",53.0
head count,"Head Count doesn't wrack up enough punchy scares to be an unqualified success as a horror outing, but an engaging cast and textured characters make it a refreshing genre exercise with something on its mind.",68.0
trance,"As stylish as ever, director Danny Boyle seems to be treading water with the surprisingly thinly written Trance -- but for fans of Boyle's work, it should still prove a trippily entertaining distraction.",68.0
cloud atlas,"Its sprawling, ambitious blend of thought-provoking narrative and eye-catching visuals will prove too unwieldy for some, but the sheer size and scope of Cloud Atlas are all but impossible to ignore.",67.0
mr right,"Sam Rockwell and Anna Kendrick work well together, but Mr. Right is too much of a tonal jumble to take advantage of their chemistry.",45.0
just go with it,"Just Go With It may be slightly better than some entries in the recently dire rom-com genre, but that's far from a recommendation.",19.0
the game plan,"Despite The Rock's abundant charisma, The Game Plan is just another run-of-the-mill Disney comedy.",28.0
bad boys ii,Two and a half hours of explosions and witless banter.,23.0
i am a sex addict,"I Am a Sex Addict takes a penetrating look at troublesome compulsions, although its unsurprisingly self-indulgent focus may test the limits of some viewers.",63.0
warm water under a red bridge akai hashi no shita noo nurui mizu,A whimsically engaging sex comedy.,80.0
flawless,Michael Caine's excellent performance makes Flawless something more than an average heist movie.,55.0
top gun,"Though it features some of the most memorable and electrifying aereial footage shot with an expert eye for action, Top Gun offers too little for non-adolescent viewers to chew on when its characters aren't in the air.",54.0
alexandra,"At once ethereal and tangible, Aleksandr Sokurov's humane Chechen War drama features a spectacular turn by opera star Galina Vishnevskay.",88.0
6 balloons,"Delicately sketched but thematically rich, 6 Balloons rises on Abbi Jacobson's gripping performance -- and marks writer-director Marja-Lewis Ryan as a talent to watch.",86.0
jules and jim,"Francois Truffaut's arguable masterpiece in a filmography full of masterpieces ready to be argued for, Jules and Jim is an eternal ode to boundless love.",93.0
finders keepers,"As bizarrely hilarious as it is insightful, Finders Keepers is a stranger-than-fiction gem of a documentary that transcends its oddball trappings.",98.0
drug war,"A taut, solidly constructed action thriller with uncommon intelligence, Drug War delivers exhilarating set pieces without skimping on sophisticated filmmaking.",94.0
house on haunted hill,Unsophisticated and unoriginal film fails to produce scares.,30.0
kissing jessica stein,A trite but refreshing and comical spin on nature of love.,83.0
the last of robin hood,"Kevin Kline's performance is spot on, but in every other respect, The Last of Robin Hood disappoints.",27.0
relic,"Relic ratchets up its slowly building tension in an expertly crafted atmosphere of dread, adding up to an outstanding feature debut for director/co-writer Natalie Erika James.",91.0
la grande illusion grand illusion,"Jean Renoir's Grand Illusion is a masterful anti-war statement, bringing humane insight and an undercurrent of ironic humor to an unusual relationship between captor and captive.",97.0
film geek,"Charming despite its central character's unfortunate personality traits, Film Geek serves as a slight yet amusing calling card for writer-director James Westby.",64.0
apollo 11,"Edifying and inspiring in equal measure, Apollo 11 uses artfully repurposed archival footage to send audiences soaring back to a pivotal time in American history.",99.0
the outsiders,"The cracks continue to show in Coppola's directorial style, but The Outsiders remains a blustery, weird, and fun adaptation of the classic novel.",63.0
everest,"Everest boasts all the dizzying cinematography a person could hope to get out a movie about mountain climbers, even if it's content to tread less challenging narrative terrain.",73.0
henry v,"Pehaps Kenneth Branagh's most fully realized Shakespeare adaptation, Henry V is an energetic, passionate, and wonderfully acted film.",100.0
good boys,"Good Boys is undermined by an eagerness to repeatedly indulge in profane humor, but its appealing cast and ultimately thoughtful message often shine through.",80.0
the enforcer,"Though the slightest hints of series fatigue begin to emerge, The Enforcer delivers riveting action and better humor than its predecessors.",68.0
aloha,"Meandering and insubstantial, Aloha finds writer-director Cameron Crowe at his most sentimental and least compelling.",20.0
the situation,An ambitious but preachy drama that fails to convincingly parcel its thriller and romance elements.,35.0
the foot fist way,The rough edges and biting humor of this martial arts comedy will keep audiences laughing and cringing in turns.,54.0
hereditary,"Hereditary uses its classic setup as the framework for a harrowing, uncommonly unsettling horror film whose cold touch lingers long beyond the closing credits.",89.0
the thief of bagdad,"It requires some viewing commitment, but this beautifully assembled showcase for Douglas Fairbanks' acting offers some splendid treats for classic film fans.",96.0
harvard man,"Harvard Man is a pretentious, incoherent mess.",33.0
mid90s,Mid90s tells a clear-eyed yet nostalgic coming-of-age tale that might mark the start of an auspicious new career for debuting writer-director Jonah Hill.,80.0
at any price,"At Any Price features a terrific performance from Dennis Quaid, and it offers further evidence of Ramin Bahrani's unique eye for detail, but film is weighted down by an overly melodramatic story.",51.0
the burbs,"The 'Burbs has an engaging premise, likable cast, and Joe Dante at the helm -- so the mixed-up genre exercise they produce can't help but feel like a disappointment.",53.0
the goods live hard sell hard,"Despite the talent in front of and behind the camera, The Goods: Live Hard, Sell Hard largely misfires, proving a squandered opportunity for all involved.",27.0
texas killing fields,"Texas Killing Fields is a competent boilerplate crime thriller, brewing up characters and plots used in better films.",37.0
ghost in the shell,"Ghost in the Shell boasts cool visuals and a compelling central performance from Scarlett Johansson, but the end result lacks the magic of the movie's classic source material.",43.0
alone with her,Alone With Her is a tense psychological thriller that overcomes its contrivances with fine performances and a perpetually unsettling mood.,69.0
mr nobody,"Mr. Nobody's narrative tangles may bedevil as much as they entertain, but its big ambitions and absorbing visuals make for an intriguing addition to director Jaco Van Dormael's filmography.",68.0
burma vj reporter i et lukket land burma vj reporting from a closed country,A powerfully visceral docu-drama highlighting the evils of censorship and the essential need for freedom of speech.,97.0
patrick,"Its pugnacious protagonist is certainly adorable, but the thoroughly formulaic Patrick will only give paws to the most pup-obsessed film fans.",38.0
arlington road,A suspenseful thriller led by strong cast performances built around a somewhat implausible story.,63.0
raising arizona,"A terrifically original, eccentric screwball comedy, Raising Arizona may not be the Coens' most disciplined movie, but it's one of their most purely entertaining.",91.0
project x,"Unoriginal, unfunny, and all-around unattractive, Project X mines the depths of the teen movie and found-footage genres for 87 minutes of predictably mean-spirited debauchery.",28.0
king corn,King Corn takes a thought-provoking look at modern mass food production that deftly balances information and entertainment.,96.0
steel magnolias,"Steel Magnolias has jokes and characters to spare, which makes it more dangerous (and effective) when it goes for the full melodrama by the end.",68.0
sister act 2 back in the habit,"Sister Act is off-key in this reprise, fatally shifting the spotlight from Whoopi Goldberg to a less compelling ensemble of pupils and trading its predecessor's sharp comedy for unconvincing sentiment.",17.0
exodus gods and kings,"While sporadically stirring, and suitably epic in its ambitions, Exodus: Gods and Kings can't quite live up to its classic source material.",30.0
monster family,"Monster Family promises a family-friendly animated monster mash, but succeeds only in delivering a viewing experience so lackluster that parents may find it genuinely frightening.",10.0
goodfellas,"Hard-hitting and stylish, GoodFellas is a gangster classic -- and arguably the high point of Martin Scorsese's career.",96.0
red dawn,"An appealing ensemble of young stars will have some audiences rooting for the Wolverines, but Red Dawn's self-seriousness can never conceal the silliness of its alarmist concept.",46.0
the future,A dark and whimsical exploration of human existence that challenges viewers as much as it rewards them.,72.0
2 days in new york,2 Days in New York breezes past its shortcomings thanks to an enjoyably madcap plot and the sweet chemistry between its well-matched stars.,66.0
abduction,"A soulless and incompetent action/thriller not even a veteran lead actor could save, let alone Taylor Lautner.",5.0
cherry 2000,"While Cherry 2000 has a certain low-budget appeal, all but the most ardent genre enthusiasts are likely to find its silly story and uneven performances unintentionally amusing.",38.0
the smurfs,The Smurfs assembles an undeniably talented cast of voice actors and live-action stars -- then crushes them beneath a blue mound of lowest-common-denominator kiddie fare.,21.0
tramps,"Sweet, breezy, and unexpected, Tramps traipses through its romcom premise with earnestness and ease.",95.0
border gräns,"Thrilling, unpredictable, and brilliantly acted, Border (Gräns) offers a singular treat to genre fans looking for something different.",97.0
the big kahuna,Wonderful adaptation of the stage play.,73.0
intacto,"The plot gimmick is original, bolstered by stylishly intriguing setpieces.",72.0
tequila sunrise,Tequila Sunrise unites three of its decade's most in-demand stars for a slickly packaged crime drama that looks great without ever going anywhere particularly interesting.,52.0
john wick,"Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise.",87.0
been rich all my life,"The remarkable resilience, energy, strength, and charisma of these women captivate, and their experiences are a historical treasure.",80.0
annie,"The new-look Annie hints at a progressive take on a well-worn story, but smothers its likable cast under clichés, cloying cuteness, and a distasteful materialism.",28.0
dont think twice,Don't Think Twice offers a bittersweet look at the comedian's life that's as genuinely moving as it is laugh-out-loud funny -- and a brilliant calling card for writer-director Mike Birbiglia.,98.0
sweet smell of success,"Sweet Smell of Success boasts a top-notch cast, sharp direction, atmospheric cinematography, and an appropriately jazzy score, making it one of the best noir crime thrillers ever made.",98.0
hellboy ii the golden army hellboy 2,"Guillermo del Toro crafts a stellar comic book sequel, boasting visuals that are as imaginative as the characters are endearing.",86.0
always be my maybe,"Carried by the infectious charms of Ali Wong and Randall Park, Always Be My Maybe takes familiar rom-com beats and cleverly layers in smart social commentary to find its own sweet groove.",89.0
sinbad legend of the seven seas,"Competent, but not magical.",45.0
sunshine cleaning,"Despite a sometimes overly familiar plot, Sunshine Cleaning benefits from the lively performances of its two stars.",74.0
basmati blues,"Like the genetically modified grain at the center of its story, Basmati Blues is probably best locked in storage and saved for cases of cinematic famine.",10.0
wrinkles,"Poignant and tender without succumbing to schmaltz, Wrinkles offers a thoughtful -- and beautifully animated -- look at old age.",93.0
one day,"Despite some fresh narrative twists, One Day lacks the emotion, depth, or insight of its bestselling source material.",36.0
lee daniels the butler,"Gut-wrenching and emotionally affecting, Lee Daniels' The Butler overcomes an uneven narrative thanks to strong performances from an all-star cast.",72.0
rattlesnake,"Carmen Ejogo is stranded in a wasteland both figuratively and literally in this disposable thriller, which lacks the cleverness or specificity to give its thin conceit any bite.",28.0
the professor,"A muddled story populated with thinly written characters and arranged around a misguided Johnny Depp performance, The Professor fails early and often.",10.0
housebound,"Alternately hilarious, gross, and simply diverting, Housebound is the rare horror-comedy that delivers on both fronts.",95.0
my best friends wedding,"Thanks to a charming performance from Julia Roberts and a subversive spin on the genre, My Best Friend's Wedding is a refreshingly entertaining romantic comedy.",73.0
the hunted,An all too familiar chase movie that's not worth the talents involved.,29.0
steel city,"A blue-collar drama with an uncommonly strong sense of its characters and setting, Steel City suggests a bright future for debuting writer-director Brian Jun.",83.0
in the loop,In the Loop is an uncommonly funny political satire that blends Dr. Strangelove with Spinal Tap for the Iraq war era.,94.0
gremlins 2 the new batch,"Gremlins 2 trades the spiky thrills of its predecessor for looney satire, yielding a succession of sporadically clever gags that add some flavor to a recycled plot.",71.0
buffalo boys,"It's hampered somewhat by its disappointingly familiar story, but Buffalo Boys makes up for its shortcomings with plenty of exciting action sequences.",79.0
management,Clever and often beguiling performances by Steve Zahn and Jennifer Aniston can't revive this sweetly misguided stalker romance.,47.0
tangerine,"Tangerine shatters casting conventions and its filmmaking techniques are up-to-the-minute, but it's an old-fashioned comedy at heart -- and a pretty wonderful one at that.",96.0
gods and generals,"Filled with two-dimensional characters and pompous self-righteousness, Gods and Generals is a long, tedious sit. Some may also take offense at the pro-Confederate slant.",8.0
avengers infinity war,"Avengers: Infinity War ably juggles a dizzying array of MCU heroes in the fight against their gravest threat yet, and the result is a thrilling, emotionally resonant blockbuster that (mostly) realizes its gargantuan ambitions.",85.0
the interview,"Unfortunately overshadowed by controversy (and under-screened as a result), The Interview's screenplay offers middling laughs bolstered by its two likable leads.",52.0
working man,"A too-rare showcase for an ensemble of talented veteran actors, Working Man quietly builds into an absorbing -- and timely -- character study.",93.0
shes all that,"Despite its charming young leads, She's All That can't overcome its predictable, inconsistently funny script.",41.0
trapped,"With its plot about child kidnapping and endangerment, Trapped is an exploitative thriller, more queasy than suspenseful.",17.0
a kid like jake,A Kid Like Jake poses some truly interesting possibilities -- many of which are lost in its overly cautious approach to an admittedly sensitive subject.,49.0
the scarlet letter,The Scarlet Letter strays far from its classic source material to tell a story that strains for steamy sensuality and leaves the audience red with unintentional laughter.,13.0
the trip,"The Trip's groovy effects and compelling message can't overcome the rough acting, long meandering stretches, and pedestrian plot.",39.0
the way back,The Way Back's occasionally frustrating treatment of a formulaic story is often outweighed by Ben Affleck's outstanding work in the central role.,84.0
notting hill,"A rom-com with the right ingredients, Notting Hill proves there's nothing like a love story well told -- especially when Hugh Grant and Julia Roberts are your leads.",83.0
sully,"As comfortingly workmanlike as its protagonist, Sully makes solid use of typically superlative work from its star and director to deliver a quietly stirring tribute to an everyday hero.",85.0
frontera,"Frontera is solidly cast, handsomely mounted, and well-acted; unfortunately, it's also rather dull and fairly forgettable.",54.0
proof,Gwyneth Paltrow and Anthony Hopkins give exceptional performances in a film that intelligently tackles the territory between madness and genius.,62.0
drop dead gorgeous,"It's dark humor sometimes hits, but mostly misses the target.",45.0
noah,"With sweeping visuals grounded by strong performances in service of a timeless tale told on a human scale, Darren Aronofsky's Noah brings the Bible epic into the 21st century.",76.0
the children act,"The Children Act showcases yet another powerful performance from Emma Thompson, who elevates this undeniably flawed picture into an affecting adult drama.",74.0
yes god yes,"Natalia Dyer's charming performance -- and writer-director Karen Maine's sensitive work -- will leave audiences saying Yes, God, Yes to this coming-of-age dramedy.",94.0
in a world,"A funny, well-written screwball satire for film buffs, In a World... proves an auspicious beginning for writer, director, and star Lake Bell.",92.0
twins,"Though it offers a few modest pleasures for undemanding viewers, Twins leans too heavily on the wackiness of its premise to overcome its narrative shortcomings.",43.0
uhf,"UHF is bizarre, freewheeling, and spotty, though its anarchic spirit cannot be denied.",64.0
harlem nights,An all-star comedy lineup is wasted on a paper-thin plot and painfully clunky dialogue.,21.0
cabaret,"Great performances and evocative musical numbers help Cabaret secure its status as a stylish, socially conscious classic.",93.0
flight of the navigator,"Bolstered by impressive special effects and a charming performance from its young star, Flight of the Navigator holds up as a solidly entertaining bit of family-friendly sci-fi.",84.0
hot rod,"Hot Rod has brazen silliness and a few humorous set pieces on its side, but it's far too inconsistent to satisfy all but the least demanding slapstick lovers.",39.0
the butterfly effect,"The premise is intriguing, but it's placed in the service of an overwrought and tasteless thriller.",33.0
carol,"Shaped by Todd Haynes' deft direction and powered by a strong cast led by Cate Blanchett and Rooney Mara, Carol lives up to its groundbreaking source material.",94.0
lagaan once upon a time in india,"Lagaan is lavish, rousing entertainment in the old-fashioned tradition of Hollywood musicals.",95.0
sleep dealer,Sleep Dealer's depth and energy are almost enough to overcome a shaky screenplay and pedestrian acting.,70.0
run fatboy run,"Run, Fat Boy, Run features sporadic laughs, but is ultimately too formulaic and predictable.",47.0
jasons lyric,"Jason's Lyric is a sexually charged film whose violent streak weakens or, depending on your perspective, supports the melodrama.",61.0
a vigilante,"Led by Olivia Wilde's fearless performance and elevated by timely themes, A Vigilante is an uncompromising thriller that hits as hard as its protagonist.",92.0
intruders,Intruders has a fantastic first act but then settles into a bland plot and scare tactics that aren't all too scary.,32.0
the great new wonderful,"Set in post-9/11 New York, this largely evocative dramedy interweaves the stories of five disconnected individuals who share an unspoken emotional malaise that shadows their attempts at returning to normal life.",73.0
jonas brothers the 3d concert experience,"Jonas Brothers: The 3-D Concert Experience should please the brothers' adoring followers, but for non-converts, this concert film is largely flat and unenlightening.",23.0
flawless,"Robert De Niro and Philip Seymour Hoffman's Flawless performances live up to this dramedy's title; unfortunately, they're outweighed by the misguided picture surrounding them.",41.0
revolver,"In attempting to meld his successful previous formulas with philosophical musings, Guy Ritchie has produced an incoherent misfire.",15.0
kedi,"Kedi is a cat fancier's dream, but this thoughtful, beautifully filmed look at Istanbul's street feline population offers absorbing viewing for filmgoers of any purr-suasion.",98.0
bride wars,"Bride Wars takes the already wearisome concept of battling bridezillas, and makes it thoroughly insufferable via a lazy script and wholly detestable characters.",11.0
act of valor,"It's undeniably reverent of the real-life heroes in its cast, but Act of Valor lets them down with a clichéd script, stilted acting, and a jingoistic attitude that ignores the complexities of war.",27.0
that obscure object of desire,That Obscure Object of Desire is a frequently unsettling treatise on the quixotic nature of lust and love.,100.0
oasis,Lead actress Moon So-ri's stand out performance gives this harrowing film much of its power.,90.0
lou reeds berlin,Julian Schnabel expertly captures the dark melancholy of Lou Reed's misunderstood concept album in this moving concert documentary.,78.0
justice league,"Justice League leaps over a number of DC movies, but its single bound isn't enough to shed the murky aesthetic, thin characters, and chaotic action that continue to dog the franchise.",40.0
black snake moan,"Uninhibited performances, skillful direction, and a killer blues soundtrack elevate Black Snake Moan beyond its outlandish premise.",66.0
the falcon and the snowman,"Stranger than fiction and improbably entertaining, The Falcon and the Snowman shows how easily idealism can be twisted into treason.",82.0
words and pictures,"While both talented performers in their own right, Juliette Binoche and Clive Owen are decidedly mismatched in Words and Pictures, and they aren't done many favors by the movie's awkwardly constructed screenplay.",43.0
sita sings the blues,"A tour de force for filmmaker Nina Paley, Sita Sings the Blues gives the Ramayana its animated due with a visually vibrant, dazzlingly imaginative triumph.",100.0
atlantics,"An unpredictable supernatural drama rooted in real-world social commentary, Atlantique suggests a thrillingly bright future for debuting filmmaker Mati Diop.",96.0
red eye,"With solid performances and tight direction from Wes Craven, Red Eye is a brisk, economic thriller.",79.0
last days,"While the minimalist style is not for all viewers, those who prefer experimentalism will find Last Days hypnotic.",58.0
whip it,"While made from overly familiar ingredients, Drew Barrymore's directorial debut has enough charm, energy, and good-natured humor to transcend its many cliches.",84.0
radio,The story is heavy on syrupy uplift and turns Radio into a saint/cuddly pet.,35.0
where the money is,"The acting in Where the Money Is is excellent. However, the movie feels like a made-for-TV movie that's plain and forgettable.",48.0
grudge match,"Grudge Match is sporadically funny but meandering, and its strong cast largely mired in a plot that's overrun with clichés.",31.0
stolen,"A real-life whodunit with colorful characters, especially art detective Harold Smith, this documentary is a fascinating peek into the world of art collecting.",67.0
maggies plan,"With a typically absorbing performance from Greta Gerwig leading the way, Maggie's Plan gives rom-com sensibilities a smart, subversive twist.",87.0
the city of your final destination,"A stellar cast can't elevate this leaden adaptation that, while just as beautiful as anything director James Ivory's made before, comes off as dusty and dry.",39.0
sexy beast,Sexy Beast rises above other movies in the British gangster genre due to its performances -- particularly an electrifying one by Ben Kingsley -- and the script's attention to character development.,87.0
pulp fiction,"One of the most influential films of the 1990s, Pulp Fiction is a delirious post-modern mix of neo-noir thrills, pitch-black humor, and pop-culture touchstones.",92.0
mr saturday night,"Billy Crystal's flawed directorial debut can't seem to decide whether it wants the viewer to love its protagonist or hate him, but it features fine work from Crystal and his co-stars.",58.0
the ninth gate,"Even though the film is stylish and atmospheric, critics say The Ninth Gate meanders aimlessly and is often ludicrous. And despite the advertising, there's hardly any chills.",43.0
once upon a time in hollywood,"Thrillingly unrestrained yet solidly crafted, Once Upon a Time in Hollywood tempers Tarantino's provocative impulses with the clarity of a mature filmmaker's vision.",85.0
running with scissors,"Despite a few great performances, the film lacks the sincerity and emotional edge of Burroughs' well-loved memoir.",31.0
play the game,"Andy Griffith is his usually likable self, but he's stranded in a middling comedy that's surprisingly tasteless and poorly crafted.",28.0
basic instinct 2,"Unable to match the suspense and titilation of its predecessor, Basic Instinct 2 boasts a plot so ludicrous and predictable it borders on ""so-bad-it's-good.""",6.0
salmon fishing in the yemen,"Quirky and a little reserved, Salmon Fishing in the Yemen is nonetheless a charming little romantic drama sold by some strong central performances.",67.0
atanarjuat the fast runner atanarjuat,Compelling human drama and stunning cinematography make The Fast Runner an absorbing experience.,91.0
the condemned,"The Condemned is a morally ambiguous, exceedingly violent and mostly forgettable action film.",15.0
the good night,"That The Good Night is the work of a first-time writer/director is apparent, as the story feels disjointed and never connects with the audience.",31.0
mrs doubtfire,"On paper, Mrs. Doubtfire might seem excessively broad or sentimental, but Robin Williams shines so brightly in the title role that the end result is difficult to resist.",71.0
lilo stitch,"Edgier than traditional Disney fare, Lilo and Stitch explores issues of family while providing a fun and charming story.",86.0
blame it on rio,"It isn't clear who is most culpable for this creepy comedy's sheer wrongness, but its smarmy laughs and uncomfortable romance will leave audiences feeling guilty long afterward.",8.0
trust,Director David Schwimmer gets some gut-wrenching performances out of his actors but he still lacks the chops to fully ratchet up story tension.,79.0
pavarotti,Pavarotti pays entertaining tribute to a towering cultural figure with a documentary whose evident affection for its subject proves contagious.,87.0
the order of myths,"More than a documentary about the oldest Mardi Gras celebration in the south, Order of Myths encompasses the eccentric characters of Mobile and the still-lingering racial tensions that surround them.",100.0
manufactured landscapes,"Manufactured Landscapes leaves the work of drawing conclusions mostly to the viewer, although the imagery makes director Jennifer Baichwal's arguments well enough on its own.",84.0
the host,"Poorly scripted and dramatically ineffective, The Host is mostly stale and tedious, with moments of unintentional hilarity.",9.0
colors,"Colors takes a hard-hitting yet nuanced look at urban gang violence, further elevated by strong performances from a pair of well-matched leads.",82.0
unfriended,Unfriended subverts found-footage horror clichés to deliver a surprisingly scary entry in the teen slasher genre with a technological twist.,62.0
the lego batman movie,The Lego Batman Movie continues its block-buster franchise's winning streak with another round of dizzyingly funny -- and beautifully animated -- family-friendly mayhem.,90.0
chill factor,"Claiming it fails on every level, critics had almost nothing good to say about this movie.",10.0
reprise,"With Reprise, first-time director Joachim Trier effectively captures the spirit of young adulthood, and announces his arrival as a filmmaker to be watched.",88.0
12 angry men twelve angry men,"Sidney Lumet's feature debut is a superbly written, dramatically effective courtroom thriller that rightfully stands as a modern classic.",100.0
skate kitchen,"Skate Kitchen takes a beguiling slice-of-life approach to its characters, approaching its timely themes with a light hand that serves the story well.",89.0
fierce people,"Fierce People's premise of a teenager studying rich people like animals is grating and self-satisfied, and Anton Yelchin's smug performance makes the film even harder to agree with.",24.0
firestarter,"Firestarter's concept hews too closely to other known Stephen King adaptations, though it's got nice special effects (including scenery-chewing George C. Scott).",37.0
look whos talking,"Look Who's Talking holds some appeal thanks to its affable stars and Amy Heckerling's energetic direction, but a silly script doesn't allow wit to get a word in edgewise.",56.0
bang the drum slowly,Bang the Drum Slowly is a touching melodrama that explores the inner workings of a baseball club and its players' personalities with remarkable depth.,92.0
bait,"Bait isn't entirely lacking in the shark action department, but a silly story and thinly sketched characters may leave audiences bored between bloody attacks.",47.0
troy,"A brawny, entertaining spectacle, but lacking emotional resonance.",54.0
the guilty den skyldige,"Sleek, well-acted, and intelligently crafted, The Guilty is a high-concept thriller that wrings maximum impact out of a handful of basic - and effective - ingredients.",97.0
queen of the desert,"Queen of the Desert unites some undeniably talented professionals, but it's difficult to discern what drew them together -- or understand how its compelling real-life story became such a muddled mess.",18.0
the quiet one,"Generally entertaining if not particularly illuminating, The Quiet One offers a suitably muted appraisal of a rock veteran's incredible life and career.",65.0
exposed,"Exposed lays its flaws fittingly bare for all but the least discerning viewers to see, starting with a dull yet convoluted plot that utterly overpowers the efforts of an intriguing cast.",8.0
the kentucky fried movie,"The now obscure pop culture references and spoofed commercials add to Kentucky Fried Movies anarchic, anything-goes spirit and wit.",81.0
waking sleeping beauty,"It doesn't probe as deep -- or tell as many hard truths -- as it could have, but Don Hahn's look at Disney's rebirth offers a fascinating and surprisingly candorous glimpse into the studio's past.",71.0
dont let go relive,"While admirably intelligent and well-cast, Don't Let Go suffers from a formulaic approach compounded by its uneven writing and an awkward tonal balance.",42.0
wish you were here,"Smart, slick, and thrilling, Wish You Were Here benefits from a compelling mystery at the center of its tightly wound plot, as well as strong performances from a cast that includes Joel Edgerton.",71.0
school daze,"School Daze is undeniably messy, but thought-provoking themes, strong performances, and Spike Lee's ingratiating energy help tie it all together.",56.0
girl most likely,"Largely witless and disappointingly dull, Girl Most Likely strands the gifted Kristen Wiig in a blandly hollow foray into scattershot sitcom territory.",22.0
the son of no one,"Needless stylistic flourishes and wholly illogical storytelling make The Son of No One a grisly, repugnant journey.",15.0
walk with me,Walk with Me offers an appropriately -- and refreshingly -- meditative look at lives lived in the pursuit of mindfulness.,81.0
robin hood,"Robin Hood robs from rich source material, but is ultimately just another poor attempt to needlessly gussy up a classic tale with amped-up action and modern special effects.",15.0
appaloosa,"A traditional genre western, Appaloosa sets itself apart with smart psychology, an intriguing love triangle, and good chemistry between the leads.",76.0
